Country or Area,Richest 20% Learning materials at home - Children's books,Female Net enrolment ratio in secondary education,Total Learning materials at home - Children's books,Male Net enrolment ratio in secondary education,Poorest 20% Learning materials at home - Children's books,Female Net attendance ratio in secondary education,Female Gross enrolment ratio in pre-primary education,Male Net attendance ratio in secondary education,Proportion of pupils starting grade 1 who reach grade 5,Gross enrolment ratio in lower secondary education
Barbados,0.9393939393939394,0.8695652173913043,0.8350515463917526,0.7931034482758621,0.7096774193548387,0.6938775510204082,0.722972972972973,0.6301020408163265,0.8767123287671232,0.7017543859649122
Belarus,1.0,0.8043478260869565,1.0,0.8160919540229885,1.0,0.9897959183673468,0.6554054054054054,0.9693877551020408,1.0,0.6666666666666666
Belgium,0.5195381487834321,0.8043478260869565,0.3423123473600035,0.8160919540229885,0.2406934018619961,0.5798192532827089,0.7905405405405406,0.5703755339345039,0.9041095890410958,0.8333333333333334
Belize,0.7373737373737373,0.7391304347826086,0.010309278350515464,0.6781609195402298,0.1827956989247312,0.6122448979591837,0.3108108108108108,0.5918367346938775,0.8630136986301371,0.7280701754385965
Benin,0.21212121212121213,0.2282608695652173,0.08247422680412371,0.26436781609195403,0.010752688172043013,0.2346938775510204,0.12162162162162166,0.3469387755102041,0.5616438356164384,0.2368421052631579
Bhutan,0.2424242424242425,0.5,0.010309278350515464,0.4367816091954023,0.010752688172043013,0.5714285714285714,0.006756756756756757,0.5510204081632653,0.8767123287671232,0.5175438596491229
Bolivia (Plurinational State of),0.8131313131313131,0.6630434782608695,0.4793814432989691,0.6436781609195402,0.25806451612903225,0.7653061224489796,0.2972972972972973,0.7959183673469388,0.8767123287671232,0.6578947368421053
Bosnia and Herzegovina,0.8888888888888888,0.8043478260869565,0.05154639175257732,0.8160919540229885,0.5591397849462365,0.9081632653061223,0.10810810810810813,0.9081632653061223,0.9863013698630136,0.7017543859649122
Botswana,0.12121212121212124,0.6195652173913043,0.041237113402061855,0.5172413793103449,0.010752688172043013,0.4489795918367347,0.12162162162162166,0.3673469387755102,0.9041095890410958,0.631578947368421
Brazil,0.8131313131313131,0.7391304347826086,0.4793814432989691,0.6781609195402298,0.25806451612903225,0.8163265306122449,0.4662162162162162,0.7551020408163265,0.8767123287671232,0.7280701754385965
Brunei Darussalam,0.44107744107744096,0.9891304347826086,0.3161512027491409,0.9540229885057472,0.1039426523297491,0.6428571428571429,0.5878378378378378,0.6224489795918368,0.9452054794520548,0.6140350877192983
Bulgaria,1.0,0.8043478260869565,1.0,0.8275862068965517,1.0,0.9081632653061223,0.527027027027027,0.8911564625850338,0.9589041095890408,0.5614035087719298
Burkina Faso,0.21212121212121213,0.06521739130434782,0.08247422680412371,0.06896551724137931,0.010752688172043013,0.15306122448979592,0.013513513513513514,0.17346938775510204,0.5068493150684932,0.07894736842105263
Burundi,0.101010101010101,0.07608695652173914,0.030927835051546393,0.06896551724137931,0.021505376344086027,0.07142857142857142,0.054054054054054064,0.07142857142857142,0.3972602739726027,0.13157894736842105
Cambodia,0.44107744107744096,0.2282608695652173,0.3161512027491409,0.26436781609195403,0.1039426523297491,0.4489795918367347,0.08108108108108109,0.4591836734693878,0.3972602739726027,0.35964912280701755
Cameroon,0.2222222222222222,0.19782608695652174,0.8144329896907216,0.19310344827586207,0.03225806451612903,0.3775510204081632,0.1891891891891892,0.3979591836734694,0.5342465753424658,0.2368421052631579
Canada,0.5195381487834321,0.8913043478260869,0.3423123473600035,0.8850574712643678,0.2406934018619961,0.5798192532827089,0.47297297297297297,0.5703755339345039,0.9041095890410958,0.7017543859649122
Cape Verde,0.21212121212121213,0.6847826086956522,0.08247422680412371,0.5632183908045977,0.010752688172043013,0.3673469387755102,0.4662162162162162,0.4081632653061225,0.5616438356164384,0.7894736842105263
Central African Republic,0.2138047138047138,0.021739130434782608,0.20446735395189003,0.06896551724137931,0.014336917562724013,0.09183673469387756,0.03378378378378378,0.12244897959183673,0.2602739726027397,0.2368421052631579
Chad,0.2138047138047138,0.2282608695652173,0.20446735395189003,0.26436781609195403,0.014336917562724013,0.12244897959183673,0.006756756756756757,0.20408163265306128,0.0136986301369863,0.08771929824561403
Chile,0.8131313131313131,0.8260869565217391,0.4793814432989691,0.7931034482758621,0.25806451612903225,0.7460317460317459,0.3851351351351352,0.6961451247165533,0.8767123287671232,0.7105263157894737
China,0.4848484848484849,0.7173913043478259,0.2371134020618557,0.6666666666666666,0.06451612903225806,0.6428571428571429,0.3581081081081081,0.6224489795918368,0.9863013698630136,0.6403508771929824
Colombia,0.8131313131313131,0.75,0.4793814432989691,0.6896551724137931,0.25806451612903225,0.8061224489795918,0.32432432432432434,0.7448979591836735,0.7945205479452054,0.7543859649122807
Comoros,0.101010101010101,0.2391304347826087,0.030927835051546393,0.2413793103448276,0.021505376344086027,0.11224489795918367,0.13513513513513514,0.1020408163265306,0.4520547945205479,0.2456140350877193
Congo,0.21212121212121213,0.19782608695652174,0.08247422680412371,0.19310344827586207,0.010752688172043013,0.4081632653061225,0.08108108108108109,0.3979591836734694,0.5616438356164384,0.2368421052631579
Cook Islands,0.5195381487834321,0.8043478260869565,0.3423123473600035,0.7356321839080459,0.2406934018619961,0.6428571428571429,1.0,0.6224489795918368,0.9315068493150684,0.6842105263157895
Costa Rica,0.7373737373737373,0.7391304347826086,0.010309278350515464,0.6781609195402298,0.1827956989247312,0.6632653061224489,0.4797297297297297,0.6020408163265306,0.8493150684931506,0.8508771929824561
Croatia,0.8101010101010101,0.9347826086956522,0.44948453608247424,0.8735632183908046,0.4,0.8857142857142857,0.40540540540540543,0.8877551020408163,0.9863013698630136,0.7543859649122807
Cuba,0.9393939393939394,0.8369565217391305,0.8350515463917526,0.8505747126436781,0.7096774193548387,0.6938775510204082,0.668918918918919,0.6301020408163265,0.9315068493150684,0.6578947368421053
Cyprus,0.5892255892255893,0.9565217391304348,0.32302405498281783,0.9655172413793104,0.2293906810035841,0.7346938775510204,0.5405405405405406,0.7460317460317459,0.8664383561643836,0.7280701754385965
Czech Republic,1.0,0.8043478260869565,1.0,0.8160919540229885,1.0,0.9081632653061223,0.7027027027027027,0.8911564625850338,1.0,0.6491228070175439
Côte d'Ivoire,0.13131313131313133,0.2375776397515528,0.010309278350515464,0.2676518883415435,0.03225806451612903,0.22448979591836726,0.020270270270270268,0.32653061224489793,0.4657534246575342,0.2368421052631579
Democratic People's Republic of Korea,0.4848484848484849,0.7173913043478259,0.2371134020618557,0.6666666666666666,0.06451612903225806,1.0,0.3716216216216216,1.0,0.9315068493150684,0.6140350877192983
Democratic Republic of the Congo,0.2138047138047138,0.2282608695652173,0.20446735395189003,0.26436781609195403,0.014336917562724013,0.2857142857142857,0.013513513513513514,0.35714285714285715,0.3835616438356164,0.2543859649122807
Denmark,0.5195381487834321,0.9021739130434784,0.3423123473600035,0.8735632183908046,0.2406934018619961,0.5798192532827089,0.6418918918918919,0.5703755339345039,0.9863013698630136,0.8508771929824561
Djibouti,0.101010101010101,0.13043478260869565,0.030927835051546393,0.1839080459770115,0.021505376344086027,0.3775510204081632,0.020270270270270268,0.4591836734693878,0.5068493150684932,0.21929824561403508
Dominica,0.9393939393939394,0.7391304347826086,0.8350515463917526,0.6781609195402298,0.7096774193548387,0.6938775510204082,0.7635135135135135,0.6301020408163265,0.8356164383561644,0.7807017543859649
Dominican Republic,0.9393939393939394,0.6413043478260869,0.8350515463917526,0.5287356321839081,0.7096774193548387,0.6938775510204082,0.25,0.5714285714285714,0.8767123287671232,0.6228070175438597
Ecuador,0.8131313131313131,0.7391304347826086,0.4793814432989691,0.6781609195402298,0.25806451612903225,0.7448979591836735,0.7702702702702703,0.7244897959183674,0.8767123287671232,0.5789473684210527
Egypt,0.5252525252525253,0.6630434782608695,0.21649484536082475,0.6781609195402298,0.0967741935483871,0.7142857142857143,0.14864864864864866,0.7142857142857143,0.7842465753424658,0.6578947368421053
El Salvador,0.7373737373737373,0.5543478260869565,0.010309278350515464,0.5172413793103449,0.1827956989247312,0.4877551020408163,0.4324324324324325,0.42857142857142855,0.8082191780821918,0.5877192982456141
Equatorial Guinea,0.21212121212121213,0.19782608695652174,0.08247422680412371,0.19310344827586207,0.010752688172043013,0.22448979591836726,0.4189189189189189,0.2346938775510204,0.4794520547945205,0.2368421052631579
Eritrea,0.101010101010101,0.18478260869565216,0.030927835051546393,0.2298850574712644,0.021505376344086027,0.21428571428571427,0.08108108108108109,0.2346938775510204,0.5753424657534246,0.21929824561403508
Estonia,0.5195381487834321,0.9239130434782608,0.3423123473600035,0.9080459770114944,0.2406934018619961,0.5798192532827089,0.6418918918918919,0.5703755339345039,0.9726027397260274,0.7543859649122807
